ce6c9e6ee8d10bef524bf50b79315ce1,32,64,32,1031670,Linux,5.14.0-362.24.1.el9_3.0.1.x86_64,;Currently Loaded Modules:;  1) GCCcore/12.2.0   2) numactl/2.0.16-GCCcore-12.2.0;; ;;,2.8000 GHz,enabled,AuthenticAMD,AMD EPYC 7543 32-Core Processor,4194304,33554432,524288
3e00ffb29c73e878d0ad44a9e138eb40,32,64,64,1031670,Linux,5.14.0-362.24.1.el9_3.0.1.x86_64,;Currently Loaded Modules:;  1) GCCcore/12.2.0   2) numactl/2.0.16-GCCcore-12.2.0;; ;;,2.8000 GHz,enabled,AuthenticAMD,AMD EPYC 7543 32-Core Processor,4194304,33554432,524288
8ab67e9485d0399d63fc9815557b9223,32,64,128,1031670,Linux,5.14.0-362.24.1.el9_3.0.1.x86_64,;Currently Loaded Modules:;  1) GCCcore/12.2.0   2) numactl/2.0.16-GCCcore-12.2.0;; ;;,2.8000 GHz,enabled,AuthenticAMD,AMD EPYC 7543 32-Core Processor,4194304,33554432,524288
a8030a59a84e4808a41343347889eecb,32,64,256,1031670,Linux,5.14.0-362.24.1.el9_3.0.1.x86_64,;Currently Loaded Modules:;  1) GCCcore/12.2.0   2) numactl/2.0.16-GCCcore-12.2.0;; ;;,3.1828 GHz,enabled,AuthenticAMD,AMD EPYC 7543 32-Core Processor,4194304,33554432,524288
e2c9cae671a97978e60c92b721bac47a,4,64,64,1031670,Linux,5.14.0-362.24.1.el9_3.0.1.x86_64,;Currently Loaded Modules:;  1) GCCcore/12.2.0   2) numactl/2.0.16-GCCcore-12.2.0;; ;;,3.2474 GHz,enabled,AuthenticAMD,AMD EPYC 7543 32-Core Processor,4194304,33554432,524288
749f967bd0745184b7dbded2ae191cc1,4,64,256,1031670,Linux,5.14.0-362.24.1.el9_3.0.1.x86_64,;Currently Loaded Modules:;  1) GCCcore/12.2.0   2) numactl/2.0.16-GCCcore-12.2.0;; ;;,3.7085 GHz,enabled,AuthenticAMD,AMD EPYC 7543 32-Core Processor,4194304,33554432,524288
f91bf6d86e37e3aa09d1d3f6f41cceb9,8,64,64,1031670,Linux,5.14.0-362.24.1.el9_3.0.1.x86_64,;Currently Loaded Modules:;  1) GCCcore/12.2.0   2) numactl/2.0.16-GCCcore-12.2.0;; ;;,2.8000 GHz,enabled,AuthenticAMD,AMD EPYC 7543 32-Core Processor,4194304,33554432,524288
d32d9b3030491164a18837c87be26584,8,64,128,1031670,Linux,5.14.0-362.24.1.el9_3.0.1.x86_64,;Currently Loaded Modules:;  1) GCCcore/12.2.0   2) numactl/2.0.16-GCCcore-12.2.0;; ;;,3.0530 GHz,enabled,AuthenticAMD,AMD EPYC 7543 32-Core Processor,4194304,33554432,524288
45882db0da29d3a9ae5bb0ab02bb9840,16,64,32,1031670,Linux,5.14.0-362.24.1.el9_3.0.1.x86_64,;Currently Loaded Modules:;  1) GCCcore/12.2.0   2) numactl/2.0.16-GCCcore-12.2.0;; ;;,2.8000 GHz,enabled,AuthenticAMD,AMD EPYC 7543 32-Core Processor,4194304,33554432,524288
629416a0846be83098035aa1cd580038,16,64,64,1031670,Linux,5.14.0-362.24.1.el9_3.0.1.x86_64,;Currently Loaded Modules:;  1) GCCcore/12.2.0   2) numactl/2.0.16-GCCcore-12.2.0;; ;;,3.0239 GHz,enabled,AuthenticAMD,AMD EPYC 7543 32-Core Processor,4194304,33554432,524288
b3a885a785c787146398b36abe217512,16,64,256,1031670,Linux,5.14.0-362.24.1.el9_3.0.1.x86_64,;Currently Loaded Modules:;  1) GCCcore/12.2.0   2) numactl/2.0.16-GCCcore-12.2.0;; ;;,3.6759 GHz,enabled,AuthenticAMD,AMD EPYC 7543 32-Core Processor,4194304,33554432,524288
39ee7fab008fbbcffd421b7f1c5f233a,32,64,256,1031670,Linux,5.14.0-362.24.1.el9_3.0.1.x86_64,;Currently Loaded Modules:;  1) GCCcore/12.2.0   2) numactl/2.0.16-GCCcore-12.2.0;; ;;,3.4192 GHz,enabled,AuthenticAMD,AMD EPYC 7543 32-Core Processor,4194304,33554432,524288
a769baeab855ddf55a1b2254c93b3136,4,64,64,1031670,Linux,5.14.0-362.24.1.el9_3.0.1.x86_64,;Currently Loaded Modules:;  1) GCCcore/12.2.0   2) numactl/2.0.16-GCCcore-12.2.0;; ;;,2.8374 GHz,enabled,AuthenticAMD,AMD EPYC 7543 32-Core Processor,4194304,33554432,524288
25b5bb477efece386efebb79da599480,4,64,64,1031670,Linux,5.14.0-362.24.1.el9_3.0.1.x86_64,;Currently Loaded Modules:;  1) GCCcore/12.2.0   2) numactl/2.0.16-GCCcore-12.2.0;; ;;,2.8000 GHz,enabled,AuthenticAMD,AMD EPYC 7543 32-Core Processor,4194304,33554432,524288
1f512b9c9076cde6efd6c70d98af95d7,4,64,64,1031670,Linux,5.14.0-362.24.1.el9_3.0.1.x86_64,;Currently Loaded Modules:;  1) GCCcore/12.2.0   2) numactl/2.0.16-GCCcore-12.2.0;; ;;,3.0827 GHz,enabled,AuthenticAMD,AMD EPYC 7543 32-Core Processor,4194304,33554432,524288
5ce80a7e6f8e955dc4eab466ff6a9b65,4,64,32,1031670,Linux,5.14.0-362.24.1.el9_3.0.1.x86_64,;Currently Loaded Modules:;  1) GCCcore/12.2.0   2) numactl/2.0.16-GCCcore-12.2.0;; ;;,3.3406 GHz,enabled,AuthenticAMD,AMD EPYC 7543 32-Core Processor,4194304,33554432,524288
2d4eb23773e577572e9cc68a4cdbba0d,4,64,128,1031670,Linux,5.14.0-362.24.1.el9_3.0.1.x86_64,;Currently Loaded Modules:;  1) GCCcore/12.2.0   2) numactl/2.0.16-GCCcore-12.2.0;; ;;,3.0590 GHz,enabled,AuthenticAMD,AMD EPYC 7543 32-Core Processor,4194304,33554432,524288
80a8f6fc5b8e119ab1517e5f636c89ed,4,64,256,1031670,Linux,5.14.0-362.24.1.el9_3.0.1.x86_64,;Currently Loaded Modules:;  1) GCCcore/12.2.0   2) numactl/2.0.16-GCCcore-12.2.0;; ;;,2.8000 GHz,enabled,AuthenticAMD,AMD EPYC 7543 32-Core Processor,4194304,33554432,524288
3f30de4048aad165823841a57701cb70,8,64,128,1031670,Linux,5.14.0-362.24.1.el9_3.0.1.x86_64,;Currently Loaded Modules:;  1) GCCcore/12.2.0   2) numactl/2.0.16-GCCcore-12.2.0;; ;;,2.8000 GHz,enabled,AuthenticAMD,AMD EPYC 7543 32-Core Processor,4194304,33554432,524288
9670586f5f0cdd352addea50a853e2b2,8,64,256,1031670,Linux,5.14.0-362.24.1.el9_3.0.1.x86_64,;Currently Loaded Modules:;  1) GCCcore/12.2.0   2) numactl/2.0.16-GCCcore-12.2.0;; ;;,3.5142 GHz,enabled,AuthenticAMD,AMD EPYC 7543 32-Core Processor,4194304,33554432,524288
f66c7adbd621bd7daaee3ab9273f51c4,16,64,64,1031670,Linux,5.14.0-362.24.1.el9_3.0.1.x86_64,;Currently Loaded Modules:;  1) GCCcore/12.2.0   2) numactl/2.0.16-GCCcore-12.2.0;; ;;,3.1357 GHz,enabled,AuthenticAMD,AMD EPYC 7543 32-Core Processor,4194304,33554432,524288
d9bb51c68bd7c929ced60c182b170ac2,16,64,128,1031670,Linux,5.14.0-362.24.1.el9_3.0.1.x86_64,;Currently Loaded Modules:;  1) GCCcore/12.2.0   2) numactl/2.0.16-GCCcore-12.2.0;; ;;,2.7856 GHz,enabled,AuthenticAMD,AMD EPYC 7543 32-Core Processor,4194304,33554432,524288
04342e5989111c659ac350eee11f492e,16,64,256,1031670,Linux,5.14.0-362.24.1.el9_3.0.1.x86_64,;Currently Loaded Modules:;  1) GCCcore/12.2.0   2) numactl/2.0.16-GCCcore-12.2.0;; ;;,2.8000 GHz,enabled,AuthenticAMD,AMD EPYC 7543 32-Core Processor,4194304,33554432,524288
